"ID","StudentID","Date","MealID","MessID","IsManualAttendance","ManualAttendanceLogID","CreatedTime"
"575995","4773","2025-01-30 19:07:38","3","30","0","0","2025-01-30 21:09:15"
"575994","5158","2025-01-30 19:06:45","3","30","0","0","2025-01-30 21:09:13"
"575993","4805","2025-01-30 19:06:21","3","30","0","0","2025-01-30 21:09:12"
"575992","5047","2025-01-30 19:06:15","3","30","0","0","2025-01-30 21:09:12"
"575991","4810","2025-01-30 19:06:10","3","30","0","0","2025-01-30 21:09:11"
"575990","4765","2025-01-30 19:06:01","3","30","0","0","2025-01-30 21:09:10"
"575989","4777","2025-01-30 19:05:55","3","30","0","0","2025-01-30 21:09:09"
"575988","4882","2025-01-30 19:05:41","3","30","0","0","2025-01-30 21:09:09"
"575987","5288","2025-01-30 19:05:34","3","30","0","0","2025-01-30 21:09:08"
"575986","4516","2025-01-30 19:05:28","3","30","0","0","2025-01-30 21:09:07"
"575985","4581","2025-01-30 19:05:25","3","30","0","0","2025-01-30 21:09:06"
"575984","4601","2025-01-30 19:05:21","3","30","0","0","2025-01-30 21:09:06"
"575983","4807","2025-01-30 19:04:56","3","30","0","0","2025-01-30 21:09:05"
"575982","5296","2025-01-30 19:04:30","3","30","0","0","2025-01-30 21:09:04"
"575981","5283","2025-01-30 19:04:23","3","30","0","0","2025-01-30 21:09:03"
"575980","5282","2025-01-30 19:04:17","3","30","0","0","2025-01-30 21:09:03"
"575979","4457","2025-01-30 19:04:11","3","30","0","0","2025-01-30 21:09:02"
"575978","4449","2025-01-30 19:04:06","3","30","0","0","2025-01-30 21:09:01"
"575977","4450","2025-01-30 19:04:00","3","30","0","0","2025-01-30 21:09:00"
"575976","4861","2025-01-30 19:03:47","3","30","0","0","2025-01-30 21:08:59"
"575975","4967","2025-01-30 19:03:43","3","30","0","0","2025-01-30 21:08:59"
"575974","4491","2025-01-30 19:01:55","3","30","0","0","2025-01-30 21:08:57"
"575973","4493","2025-01-30 19:01:51","3","30","0","0","2025-01-30 21:08:56"
"575972","4490","2025-01-30 19:01:46","3","30","0","0","2025-01-30 21:08:56"
"575971","5208","2025-01-30 19:01:33","3","30","0","0","2025-01-30 21:08:54"
"575970","5197","2025-01-30 19:01:26","3","30","0","0","2025-01-30 21:08:53"
"575969","5207","2025-01-30 19:01:22","3","30","0","0","2025-01-30 21:08:53"
"575968","4710","2025-01-30 19:01:06","3","30","0","0","2025-01-30 21:08:51"
"575967","5264","2025-01-30 19:01:02","3","30","0","0","2025-01-30 21:08:50"
"575966","4877","2025-01-30 19:00:57","3","30","0","0","2025-01-30 21:08:50"
"575965","4799","2025-01-30 19:00:53","3","30","0","0","2025-01-30 21:08:49"
"575964","4966","2025-01-30 19:00:49","3","30","0","0","2025-01-30 21:08:48"
"575963","5023","2025-01-30 19:00:39","3","30","0","0","2025-01-30 21:08:47"
